!库所;
P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11~

!变迁;
T1	T2	T3	T4	T5	T6	T7	T8~

!P不变式个数;
z1 z2 z3 z4 z5~

!pre;
1	0	0	0	0	0	0	0	1	0	0
0	1	0	0	0	0	0	0	0	1	0
0	0	1	0	0	0	0	0	0	0	1
0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	1
0	0	0	0	0	0	0	1	0	1	0
0	0	0	0	0	0	1	0	1	0	0
0	0	0	0	0	1	0	0	0	0	0~


!post;
0	1	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	1	0	0
0	0	0	1	0	0	0	0	0	1	0
1	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	1	0	0	0	1
0	0	0	0	0	1	0	0	0	1	0
0	0	0	0	1	0	0	0	1	0	0~


!P-invariant matrix;
1	1	1	1	0	0	0	0	0	0	0
0	0	1	0	0	0	1	0	0	1	0
0	0	0	1	0	0	0	1	0	0	1
0	0	0	0	1	1	1	1	0	0	0
0	1	0	0	0	1	0	0	1	0	0~


!M0;
10	0	0	0	10	0	0	0	2	1	1~

